Team,Owner,EV,Var,StdDev,Group Stage,Last 32,Last 16,Quarter-Finals,Semi-Finals,Runner-Up,Outright Winner
Croatia,Ricky,1.3670149751473628,1.7304973006633118,1.3154836755594164,0.2597749293361854,0.3915938570911835,0.2030056942392627,0.07571602027222948,0.04265390695562252,0.0190207242148534,0.008234867890662868
Egypt,Gabe,1.26856133855937,1.1023807287657552,1.0499432026380071,0.21928918130605363,0.4540447951680992,0.21928918130605363,0.07580849549168492,0.02183044412696816,0.007389971348210108,0.0023479312529304424
Scotland,Jack,1.2551193071101543,1.0535791787495128,1.0264400512204854,0.18725912551886162,0.5269159979474229,0.18725912551886162,0.06686145482047673,0.021095921687746693,0.007141323187462959,0.0034670513191674725
Senegal,Max,1.152971153884003,1.6660507505351752,1.2907558834013406,0.375316793873753,0.33165599283502745,0.15712271596365,0.08387254118093788,0.030753729218692922,0.015159019674697568,0.006119207253241159
Ghana,Jack,1.144198867806642,0.9894978334988321,0.9947350569366861,0.23845105173742687,0.5153424799703313,0.1594965338420251,0.05562067453441735,0.02218270213528949,0.007509216590017001,0.0013973411904928661
Turkey,Bella,1.0066844980118752,1.798837932772472,1.341207639693598,0.4948708191515104,0.23900685117162052,0.13978776562475287,0.06751304057809025,0.03751437510429068,0.014776762431546095,0.006530385938189064
Algeria,Danny,0.9888194070751364,1.2561304301949874,1.1207722472451696,0.40586949956032486,0.3548895584774303,0.14153746664395253,0.06284774663468418,0.02523483400871899,0.007301175510140251,0.0023197191647489554
Bosnia,Max,0.8927729338482349,1.0010556957801289,1.0005277086518538,0.4247799813800977,0.3625662839244063,0.13294297707737873,0.06420722561723155,0.011660127306934158,0.002867919896234387,0.0009754847977167994
DR Congo,Jack,0.8103274820105437,0.837139458539587,0.914953254838512,0.4260979031269512,0.41569928120229566,0.10461529164846173,0.03797601558987171,0.011410863865268985,0.003543919074296084,0.0006567254928544849
Paraguay,Bella,0.7206407530825873,1.0521220435818293,1.02573000520694,0.5584814253434377,0.2597418389358733,0.12168634082619086,0.03839410200436725,0.015123283341755396,0.004838034702744266,0.001734974845631111
Iran,Ricky,0.6766094396566642,0.8896286563906167,0.9432012809525954,0.5613689146697849,0.2702474448882392,0.12074973422591732,0.03462779977911445,0.009232724055737012,0.002815669769096941,0.0009577126121099866
Cape Verde,Danny,0.6704584111342425,0.764294198666156,0.8742392113524513,0.5285598323139405,0.32719610082066364,0.1045913059169178,0.030340173262167265,0.007297979338030484,0.0013580334265432031,0.0006565749217369985
Saudi Arabia,Gabe,0.6005206465320466,0.7723004644660783,0.8788062724321432,0.5945801517587368,0.2640150598833809,0.10253254638929173,0.029742961857015388,0.007154327010880812,0.0013313021009208669,0.0006436509997735407
New Zealand,Jack,0.5199763379337806,0.6503231140739933,0.8064261367750882,0.6297834276626274,0.26010466220649575,0.07991451457040671,0.024361043496857106,0.004620615930355665,0.0008013302247232783,0.0004144059085340155
Uzbekistan,Carol,0.2754983166794259,0.3889389866419772,0.6236497307319047,0.7925582005489634,0.15884540249435788,0.035362360366484165,0.009428578116597535,0.0028753986589663597,0.0006728212384482732,0.0002572385761823406
Qatar,Ro,0.24237942451754707,0.3224214821199635,0.5678216992330987,0.8083121282958766,0.15343719018616042,0.030032358912087165,0.0059756729722092615,0.0013442555824628036,0.0006499136815038922,0.00024848036969977056
Tunisia,Ricky,0.19898512910966498,0.41224747876500667,0.6420650113228462,0.8722320997457543,0.08807958231432494,0.02174540027247462,0.011507047338213302,0.0035737911723619366,0.0017305471672506968,0.001131531989619897
Panama,Max,0.17974015887421166,0.28173525028703245,0.5307873870835972,0.8666372197223576,0.10125343938499719,0.022242419655778396,0.00752943197193193,0.0014011029392042866,0.0006773979452001857,0.0002589883805303444
Iraq,Carol,0.13539437324132098,0.2638147058032893,0.5136289573255087,0.9131662780835298,0.05596323448074084,0.019470431649445397,0.007555464803537244,0.002904967123610472,0.0006797400324523078,0.0002598838266839471
Jordan,Danya,0.1345438958474991,0.21604206895091077,0.4648032583264781,0.8993226237371565,0.07633117776462098,0.01917525876341275,0.0028609276515975087,0.0013846329769032612,0.0006694351336835848,0.0002559439726254114
Haiti,Ro,0.053211809611659416,0.10439101088705777,0.32309597782556465,0.9611188148881697,0.031738946421618064,0.0037064543987192495,0.0014206428483903193,0.0014206428483903193,0.0003318983386412953,0.00026260025607082013
